typ,ra,dec,mag,names
Gxy,41.50005,-7.57694,11.1,NGC1084
Gxy,41.5791,-30.2744,9.4,NGC1097/C67
Gxy,41.60535,3.60722,12.5,NGC1085
Gxy,41.60505,-0.499722,10.8,NGC1087
Gxy,41.6421,0.2475,11.9,NGC1090
Gxy,41.865899999999996,-0.285278,12.7,NGC1094
Gxy,41.984550000000006,41.2464,13.0,NGC1086
Gxy,42.02505,-13.96,12.9,NGC1103
Gxy,42.279599999999995,-16.9936,12.9,NGC1114
Gxy,42.3312,8.09278,12.7,NGC1107
Gxy,42.6687,41.6719,12.4,NGC1106
Gxy,42.662850000000006,-1.73417,13.0,NGC1121
OC+Neb,42.79995,60.4333,6.5,IC1848
Gxy,42.916650000000004,-16.6519,12.6,NGC1125
Gxy,43.21245,42.2053,12.3,NGC1122
Gxy,43.21245,42.2053,12.2,NGC1123
Gxy,43.215900000000005,-1.275,12.5,NGC1132
Gxy,43.4217,13.0147,12.3,NGC1134
Gxy,43.51125,2.96167,12.6,NGC1137
Gxy,43.61415,41.5797,12.6,NGC1129
Gxy,43.63965,-10.0289,12.6,NGC1140
Gxy,43.63965,-18.6356,13.0,NGC1145
Gxy,43.8,0.184167,12.8,NGC1142
Gxy,43.8,-0.184167,12.8,NGC1144
Gxy,44.15205,43.0475,12.9,NGC1138
Gxy,44.54295,3.36167,12.5,NGC1153
Gxy,44.6988,-32.0997,12.9,NGC1165
Gxy,44.73285,-12.3989,12.5,NGC1162
Gxy,44.92545,25.2364,11.7,NGC1156
Gxy,45.305400000000006,44.9542,12.1,NGC1160
Gxy,45.308699999999995,44.8969,11.1,NGC1161
Gxy,45.3996,-14.8369,11.7,NGC1172
Gxy,45.42585,35.2056,12.5,NGC1167
Gxy,45.66045,-18.8986,12.0,NGC1179
Gxy,45.65715,-22.8675,10.7,NGC1187
Gxy,45.8946,46.3856,11.6,NGC1169
Gxy,45.91035,-15.6136,11.5,NGC1199
Gxy,45.97755,-11.9917,12.5,NGC1200
Gxy,45.9954,43.3981,12.5,NGC1171
Gxy,46.0329,-26.0694,10.8,NGC1201
